author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/315053628/,Москва,sale,flat,5,8,2,111.6,-1,0,109479600,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
Alpha Star Properties,real_estate_agent,https://www.cian.ru/sale/flat/315795006/,Москва,sale,flat,25,61,2,61.0,-1,0,76250000,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
ID 127540127,homeowner,https://www.cian.ru/sale/flat/314356422/,Москва,sale,flat,5,5,2,57.5,-1,0,22000000,Академический,проспект 60-летия Октября,14,Академическая,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317881586/,Москва,sale,flat,15,19,2,67.9,-1,0,31000000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
ID 81274004,homeowner,https://www.cian.ru/sale/flat/317092744/,Москва,sale,flat,1,8,2,34.8,-1,0,14700000,Даниловский, Серпуховский Вал,18/28,Тульская,
The Smitt,real_estate_agent,https://www.cian.ru/sale/flat/317261204/,Москва,sale,flat,3,22,2,59.7,-1,0,11200000,Силино,Зеленоград,,Зеленоград — Крюково,
The PRB,real_estate_agent,https://www.cian.ru/sale/flat/317899969/,Москва,sale,flat,13,25,2,40.0,-1,0,17500000,Филевский парк,Береговой проезд,5Ак2,Фили,Фили Град
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,-1,0,69900000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
Лайк Стрит,real_estate_agent,https://www.cian.ru/sale/flat/316453422/,Москва,sale,flat,3,9,2,47.6,-1,0,11990000,Царицыно, Бехтерева,41К3,Царицыно,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314167272/,Москва,sale,flat,9,9,2,88.4,-1,0,199900000,Пресненский, Спиридоновка,22/2,Пушкинская,
ELSTATE,real_estate_agent,https://www.cian.ru/sale/flat/316897168/,Москва,sale,flat,11,20,2,86.2,-1,0,104000000,Пресненский,Мантулинская ,9к5,Москва-Сити,City Park
ID 12262773,homeowner,https://www.cian.ru/sale/flat/316126633/,Москва,sale,flat,5,12,2,45.0,-1,0,14450000,Щукино,Новощукинская ,14,Щукинская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314446922/,Москва,sale,flat,4,13,2,74.0,-1,0,79000000,Пресненский,Большая Садовая ,5к1,Маяковская,Квартал апартаментов Сады Пекина
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313946912/,Москва,sale,flat,2,7,2,137.1,-1,0,630000000,Пресненский,Малая Бронная ,15,Пушкинская,Малая Бронная 15
ID 130897558,homeowner,https://www.cian.ru/sale/flat/317356895/,Москва,sale,flat,9,9,2,38.0,-1,0,10900000,Гольяново,Щелковское шоссе,57К1,Щёлковская,
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/310792515/,Москва,sale,flat,4,8,2,111.5,-1,0,87639000,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
ID 154790,real_estate_agent,https://www.cian.ru/sale/flat/317724071/,Москва,sale,flat,15,16,2,52.1,-1,0,12600000,Бибирево, Корнейчука,56,Бибирево,
