author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317646469/,Москва,sale,flat,5,5,3,152.0,-1,0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309810361/,Москва,sale,flat,5,5,3,151.6,-1,0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/313475694/,Москва,sale,flat,3,9,3,83.7,-1,0,17450000,Нижегородский, Верхняя Хохловка,39/47,Нижегородская,
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/314841772/,Москва,sale,flat,3,21,3,119.4,-1,0,52990000,Тропарево-Никулино,проспект Вернадского,92К1,Юго-Западная,Корона Эйр
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/315458722/,Москва,sale,flat,4,42,3,81.34,-1,0,43900000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/317698062/,Москва,sale,flat,5,12,3,64.3,-1,0,14000000,Новогиреево,Союзный проспект,6К3,Новогиреево,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315288286/,Москва,sale,flat,3,4,3,124.0,-1,0,130000000,Тверской, Петровка,28,Чеховская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/312477508/,Москва,sale,flat,2,7,3,137.0,-1,0,630000000,Пресненский,Малая Бронная ,15Б,Пушкинская,Малая Бронная 15
Анастасия Ванюшина,realtor,https://www.cian.ru/sale/flat/317421688/,Москва,sale,flat,9,9,3,60.0,-1,0,20500000,Северное Медведково,Широкая ,16,Медведково,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/316161198/,Москва,sale,flat,2,5,3,137.1,-1,0,630000000,Пресненский,Малая Бронная ,15Б,Тверская,Малая Бронная 15
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315975609/,Москва,sale,flat,5,9,3,92.1,-1,0,112000000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
ID 374902,realtor,https://www.cian.ru/sale/flat/317116350/,Москва,sale,flat,8,16,3,71.0,-1,0,16500000,Ивановское,Магнитогорская ,7,Новогиреево,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/316565405/,Москва,sale,flat,5,9,3,93.0,-1,0,111500000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/315662772/,Москва,sale,flat,11,15,3,113.5,-1,0,79000000,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/314252852/,Москва,sale,flat,2,3,3,71.0,-1,0,14000000,,,39,Румянцево,
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/315495919/,Москва,sale,flat,8,8,3,99.4,-1,0,60000000,Дорогомилово, Дениса Давыдова,3,Парк Победы,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/315044981/,Москва,sale,flat,11,13,3,68.8,-1,0,57500000,Раменки,проспект Генерала Дорохова,39к2Б,Минская,Собрание клубных домов West Garden
Наталия Шпрингер,realtor,https://www.cian.ru/sale/flat/317245651/,Москва,sale,flat,5,9,3,58.5,-1,0,19000000,Коньково, Генерала Антонова,5К1,Беляево,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/309623565/,Москва,sale,flat,7,14,3,68.9,-1,0,41000000,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,Собрание клубных домов West Garden
