author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317646469/,Москва,sale,flat,5,5,3,152.0,-1,0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309810361/,Москва,sale,flat,5,5,3,151.6,-1,0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,
ID 69317500,homeowner,https://www.cian.ru/sale/flat/317766834/,Москва,sale,flat,13,20,3,71.5,-1,0,16850000,,бульвар Скандинавский,1к2,Потапово,
ЕСН,real_estate_agent,https://www.cian.ru/sale/flat/315415139/,Москва,sale,flat,7,25,3,99.0,-1,0,69900000,Раменки, Янковского,1к1,Аминьевская,Событие
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315288286/,Москва,sale,flat,3,4,3,124.0,-1,0,130000000,Тверской, Петровка,28,Чеховская,
Анастасия Ванюшина,realtor,https://www.cian.ru/sale/flat/317421688/,Москва,sale,flat,9,9,3,60.0,-1,0,20500000,Северное Медведково,Широкая ,16,Медведково,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/313380614/,Москва,sale,flat,7,10,3,177.7,-1,0,128000000,Пресненский, Климашкина,17С2,Улица 1905 года,Панорама
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/312477508/,Москва,sale,flat,2,7,3,137.0,-1,0,630000000,Пресненский,Малая Бронная ,15Б,Пушкинская,Малая Бронная 15
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/317771903/,Москва,sale,flat,3,9,3,58.3,-1,0,12500000,Чертаново Центральное,Чертановская ,43К2,Пражская,
FOX ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/317912046/,Москва,sale,flat,6,12,3,58.5,-1,0,14900000,Бирюлево Восточное,Элеваторная ,14,Царицыно,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/316161198/,Москва,sale,flat,2,5,3,137.1,-1,0,630000000,Пресненский,Малая Бронная ,15Б,Тверская,Малая Бронная 15
Фаворит групп,real_estate_agent,https://www.cian.ru/sale/flat/317705995/,Москва,sale,flat,13,17,3,73.0,-1,0,27000000,Крылатское,Осенний бульвар,6,Крылатское,
The PRB,real_estate_agent,https://www.cian.ru/sale/flat/317904391/,Москва,sale,flat,10,20,3,60.0,-1,0,27900000,Филевский парк,Большая Филевская ,3к1,Фили,Западный порт
ID 29759843,realtor,https://www.cian.ru/sale/flat/317757131/,Москва,sale,flat,2,21,3,62.0,-1,0,60900000,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
Наталия Шпрингер,realtor,https://www.cian.ru/sale/flat/317245651/,Москва,sale,flat,5,9,3,58.5,-1,0,19000000,Коньково, Генерала Антонова,5К1,Беляево,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315975609/,Москва,sale,flat,5,9,3,92.1,-1,0,112000000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317410369/,Москва,sale,flat,2,4,3,140.0,-1,0,166870740,Мещанский,Рождественский бульвар,10/7С1,Трубная,
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/317766107/,Москва,sale,flat,8,13,3,63.9,-1,0,21000000,Фили-Давыдково,Славянский бульвар,9К1,Славянский бульвар,
Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/315662772/,Москва,sale,flat,11,15,3,113.5,-1,0,79000000,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
